COVID-19 Vaccinations in the United States
Date generated: Fri Jul 16 2021 13:26:42 GMT+0200 (Central European Summer Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,842105,115113,152676,685764,93742,646432,117200,370116,50.6,348047,63.1,327289,44.7,309946,56.2,421185,361620,59300,0,27064,286863,371662,175,132763,169372,25112,42,132401,152516,24990,39,302177,50.6,348047,63.1,41.3,284956,51.7,370116,75436,82.4,70945,77.5,39986,28431,2506,22,142305,155375,919449,368889,60.6,326528,53.6,132760,168616,25110,42,683777,112301,138305
Alabama,4895780,99849,128334,3448153,70325,3359566,88065,2009200,41,1953163,51.2,1645083,33.6,1610830,42.2,2364840,2249640,281300,0,116168,1593858,1738123,4,730656,795407,118880,140,730400,761471,118819,140,1526203,41,1953163,51.2,31.1,1492011,39.1,2009200,676485,79.6,585290,68.9,309315,244525,31362,88,1207042,142032,576085,2008875,48,1645045,39.3,730645,795386,118874,140,3447831,82348,116931
Arkansas,2880270,95443,124276,2304153,76352,2214952,95569,1309002,43.4,1255221,54.2,1060174,35.1,1024357,44.2,1400670,1300700,178900,0,80783,1068396,1154337,637,481202,499864,78941,167,480223,465490,78489,155,981233,43.4,1255221,54.2,32.5,945868,40.8,1309002,410384,78.3,347060,66.2,200779,133912,12275,94,748597,142894,549794,1305416,51,1058768,41.4,481196,498578,78828,166,2299218,89910,112632
American Samoa,54930,98637,126640,49122,88208,45272,104373,27329,49.1,24819,57.2,22423,40.3,21088,48.6,38730,15600,600,0,514,12066,36542,0,5511,16391,521,0,5498,15070,520,0,21902,49.1,24819,57.2,39.3,20568,47.4,27329,2679,28.4,2431,25.8,983,1426,22,0,5014,53137,582132,27324,57.5,22421,47.1,5510,16390,521,0,49115,103276,115504
Arizona,8277360,113720,146801,6918832,95056,6569168,116506,3752339,51.6,3559528,63.1,3221874,44.3,3073210,54.5,4412400,3433960,431000,0,247688,2931286,3732560,7298,1302437,1678225,238814,2398,1302023,1530337,238469,2381,2983060,51.6,3559528,63.1,41,2834741,50.3,3752339,1116205,85.3,967055,73.9,478451,445747,41497,1360,2130590,162810,632520,3751591,60.5,3221547,51.9,1302417,1678148,238584,2398,6918013,111472,133375
Bureau of Prisons,206410,N/A,N/A,197636,N/A,197635,N/A,106917,N/A,106916,N/A,98285,N/A,98285,N/A,109170,86640,10600,0,8676,81668,107292,0,38952,50706,8627,0,38952,50706,8627,0,89658,N/A,106916,N/A,0,89658,0,106917,3346,0,3126,0,1523,1490,113,0,6400,0,0,106916,0,98285,0,38952,50706,8627,0,197635,0,0
California,49823455,126096,162728,43868821,111026,41135378,134352,24865725,62.9,23324883,76.2,20309600,51.4,19113261,62.4,26928495,20279160,2615800,0,1610060,17662554,24588612,7595,7818119,10893390,1595799,2292,7793491,9728968,1588643,2159,18713801,62.9,23324883,76.2,47.4,17524618,57.2,24865725,5524085,94.6,4448163,76.2,2275811,2010266,161259,827,9907235,169699,853417,24787283,73.7,20261388,60.2,7817708,10845904,1595488,2288,43741928,130005,148080
Colorado,7113825,123531,158113,6331710,109950,5940246,132028,3397206,59,3183023,70.7,3066574,53.3,2889510,64.2,3851625,2921900,340300,0,227478,2621749,3478967,3516,1227856,1613786,223833,1099,1224324,1441374,222738,1074,2842741,59,3183023,70.7,49.4,2666772,59.3,3397206,740655,87.9,674402,80.1,333378,320087,20580,357,1424122,169053,844459,3385535,68.6,3058665,62,1227844,1605910,223812,1099,6312000,127875,144119
Connecticut,4792615,134424,168882,4493769,126042,4208581,148302,2432435,68.2,2278270,80.3,2211353,62,2085004,73.5,2596755,1945860,250000,0,179774,1726573,2586848,574,819990,1211973,179205,185,819627,1086166,179062,149,2032148,68.2,2278270,80.3,57,1905942,67.2,2432435,602030,95.5,564285,89.5,223069,322837,18337,42,1162674,184480,760438,2431188,78.3,2210910,71.2,819787,1211807,179131,185,4492153,144631,154304
District of Columbia,1074655,152272,186061,884367,125309,861071,149082,441331,62.5,425999,73.8,378875,53.7,368902,63.9,593415,426840,54400,0,28430,347849,507700,388,143823,203090,31756,206,143777,193194,31737,194,347119,62.5,425999,73.8,49.2,337165,58.4,441331,75239,86.1,67360,77.1,37944,27139,2253,24,171431,196273,1230390,441240,72.4,378833,62.1,143818,203055,31754,206,884286,145023,176244
